c1,c2
v,does anyone have Paper Pendulum Clock kit or pattern? I have a kind of kit book but it quality is bad. pls share if you have better. I really want to make this one. thank you!
x,(REPLY) >>539494
x,(REPLY) >>539494
x,"(REPLY) >>539497
>>539498
thank you. thank you very much!"
v,"(REPLY) >>539494
how many people actually have the patience to build that shit ? also does anyone now the accuracy of this clock ?"
v,"(REPLY) >>539499
no worries man, post it if you make it. i don't have what it takes"
v,"(REPLY) >>539515
some man really did it. it only need some patience. and this clock work, real running"
v,"(REPLY) >>539516
it will take time but yes !"
v,"I'm doing it right now. Just starting tough.
One question, if anyone is building it too, do we have to make the markings for the scores on piece a-05 by ourselves? To fit in piece A-01?"
v,"(REPLY) >>539515
is the same that a metallic pendulum clock... but in paper... soooo can give you a real accuracy"
v,"Anybody knows about other funtional papercraft. I want to do more.
Also here is my progress (at least paper 6, tomorrow im gone print paper 7 and 8, 2 papers for day ) i hope in a month finish
Ignore the mistakes, im not from USA"
v,try gear heart and gear sphere. even harder than this.
v,"(REPLY) >>542304
and gear sphere"
v,"(REPLY) >>542304
>>542305
please, please, anybody have those papercraft?"
v,"look here. it have link for the whole parts for the gear heart
http://sabi996.deviantart.com/art/ Papercraft-Gear-Heart-Download-347989424"
v,"Sorry but i do not understand this part , anybody can explain me?
For what is E6?"
v,Anybody knows about for what it is this piece?
v,"(REPLY) >>542312
I have the gear cube."
v,"(REPLY) >>542312
And the instructions."
v,"(REPLY) >>542629
Thank you so much, i can made this pieces of the clock, and i promise make the cube, this is my compromised"
v,"Well, this is my progress, it was so hard, but im going finish, only some details, 
The piece P1: the piee paper show 5 moldes, when you need 6, make a copy.
And in the intrucction, when you fusion the frame B the sighn of O11 and O10 is it grown, but is a mistake of number, nothing anymore.
About my frame, i started without gears becase the gears are little bend, the glue deformed the paper, so i make a corrections before the fusion of everything pieces.
Sorry for my grammar, im from ecuator."
x,"(REPLY) >>542853
nice work. keep doing this. good luck!"
v,"Do not put L10, because with this piece, the anchor do not fits with the escapement, my solution is put L 10 and L11 together"
v,"Here goes the weith.., really for me,was the most confusion step, for this reason, i made after of all"
x,"(REPLY) >>542890
Good job. Can't wait to see the end result."
v,"I think your paper are too think. After your clock finish, hope still can move without any destruct."
v,"(REPLY) >>542896
i mean too thin."
x,"(REPLY) >>542890
Nice."
v,"(REPLY) >>542896
It is probably, in this case im going use stong material.
in this picture All the gears stay ""in situ"".
The frames suffer the most damage because i needed change for fit the sticks.
The only problem now is separate the gears of other gears.
And the anchor. RECOMENDATION. Do not glue L10, at least, not behind of the anchor, this piece is a long separate innecesary of the teeth of escapement"
x,"Amazing work OP. Keep updating us, please!"
x,nice work !!! keep updating process pls. it very helpful
v,"(REPLY) >>542937
What paper are you using, if you think it's too thick for the mechanism would you suggest using thicker cardstock for the frame and lighter cardstock for the mechanisms? I'm very interested in making this but I live in a shit desert that relies on swamp coolers to fill the air with water and even cardstock warps inside."
v,"Hello it's me, the ecuatorian boy.
The road to this point was difficult, 
The frames fuck everything.
The space between anchor and escapement (her teeth) not fits, yet.
Now i waiting for the dry off the glue.
And the munite hand, i recommend change the step 3 (on the step 38), cut one part of the asis ( or stick) and paste this inside the hole of 12teeth gear type b (the little gear front 48 teeth gear).
 i think so, this is the real impulse of minute hand.
If you only put the minute hand on the asis, this roll without control because the gears more heavy behind them move the asis, and the minute hand, like light piece move on with the rhythm of the other gears.
Again, sorry for my grammar, i started learn with duolingo"
v,"Hello my dear readers.
I belive, i am the only who support this thread alive.
Well, now i in stanby for the clock, only need rise the asis of ancora, everything else is fine, and the hour and minute hand goes in perfect sequence. Maybe later a take a picture.
Here is the gear sphere cube, the first parts. It is like a cupcake cover."
v,wow! patient man :)) can you take pic about how the clock work? how can we run it?
v,This is really cool! Learn how to make gifs or webm because we'd love to see the result in motion!
v,"(REPLY) >>543238
Relax dude, im going use format factory (transformation video), now i make the finals corrections and the pieces of gear sphere, wait 3 days or less, i promise"
v,Dear anon glad to see you build the Paper Clock. I have too started it but stopped a few months ago when my dog ruined part of it (my fault I tested the gears after putting the string on the mechanism and left it on the floor) This urges me to go back and finish it!
x,"(REPLY) >>543252
Thats incredible anon!
Good job"
x,"(REPLY) >>543252
Looks beautiful. Great job anon"
x,"(REPLY) >>542629

Thanks Anon, I have been looking for this one for a LONG time now."
x,"(REPLY) >>539497
>59 pages"
v,"(REPLY) >>539515
The vast majority of stuff in a clock is just crap to display the time - that is, almost all the gears are there to divide down the amount of rotation. The fundamental accuracy (or lack) of a clock comes down to two or three main things: the escapement (the escape wheel + pallets), the pendulum, and what powers the escapement.

The escapement is the most critical piece; you have losses due to friction, to how the pallets and the wheel interact, recoil, etc. (See the fine wikipedia article for more detail.) With paper, you have less thermal expansion to worry about, but humidity levels can cause even bigger shifts in size.

For more technical details, I recommend the books ""The Quest for Longitude"" (Andrewes, ed; Harvard) or ""Watchmaking"" (George Daniels)."
v,"(REPLY) >>542937
Holy crap anon, you are a madman. This would be challenging to make as a machinist, much less out of paper."
v,"(REPLY) >>543252
Clock looks awesome. What weight paper did you use and what are the general opinions on sticking paper together to thicken it?"
v,"It is so many work, maybe before the end of this year i can finish the clock, all the problem is the escapement and the anchora, the teeth do not fit.
Another thing, you need 50 grames or more for the weith. And a stick for more resistence
About the gear sphere, i hate make all this axis."
x,"(REPLY) >>546309
its looks gr8"
x,"(REPLY) >>546309
Looking good so far"
v,"(REPLY) >>546309
Hi OP, I made this clock about 6 years ago as a gift for my father. From your pictures I don't think you have made the gears to a fine enough tolerance, are you flooding them with glue too? If a couple of teeth are wonky the mechanism will jam (as I found out) and you will need to use more weight to get it to turn causing the structure to bend.

I have also made the gear heart and this suffers from the same problem you need at most a 1.5mm tolerance on most pieces otherwise it will jam and bend.

Good luck friend."
v,"(REPLY) >>542439
E6 is a supporting piece, it allows you to mount the eyelet punched piece inside the gear for if you are using a hand eyelet punch. If you are using a vertical punch you can ignore it and make the gear completely."
v,"(REPLY) >>547348
Not Op but I plan on making this clock, what do you mean by the tolerances and flooding with glue?"
v,"(REPLY) >>547401
For tolerances I mean that each tooth needs to be as close to the plan as possible, they mesh together very closely. You can flood the teeth with glue if you start to get lazy making the gears and try to rush. Best advice is to glue teeth in pairs at 180 degrees to each other and take it slow. Good luck."
x,"(REPLY) >>547453
I see, thanks anon"
x,https://www.youtube.com/watch?v=ROuPRs_rJi0
v,"Another anon trying to make this here, if I make the gears and harden them with a thin layer of diluted glue even if they don't warp will it mess up the tolerances?"
v,"(REPLY) >>548616
You may need to lightly sand the gear teeth to make sure everything fits smoothly. The only two pieces that really matter in term of tolerances and fit are the anchor and escape wheel."
x,"(REPLY) >>548630
Nice, thanks Anon"
v,Really inspired by this thread. Would love to see the end result!
x,Super neat
v,"(REPLY) >>546309
Any progress with this project? Did you finish it?"
v,"(REPLY) >>550243
not yet dude, the ancora is a problem"
v,Yet another anon here. Thanks for this one guys. I just printed layout on flourescent orange/green alternating pieces. Hopefully i can finish this and show it off here sometime soon.
v,"(REPLY) >>539498
>Paper Pendulum Clock
Thanks"
x,Thanks again.
x,You NEED to finish this!
x,good thread
x,http://jintrue.synology.me/VR/VR-OBJT/%ED%8E%98%EC%9D%B4%ED%8D%BC%20%EA%B8%B0%EA%B3%84%EC%8B%9D%20%EC%8B%9C%EA%B3%84/index.html
