c1,c2,,
v,"Hey there, how are you? This time, we are gonna make the normal KMS Roon, this papercraft looks great, in pictures, too bad that there isn't a .PDO file to use as a guide, but the instructions that comes with it must be enough",,
v,"Here is the head, the good thing about this, is that comes with a second head that are identical and 2 extra face plates, in case you screw one",,
v,"And here is how the hair starts to look, like some leaves, but anyways, is nicely done",,
v,"The head is done! The way the hair is done is great, how each layer covers the edge of the lowest ines",,
v,"Here are the hair flaps? Clips? Wings? Well, whatever they are called, I can say that this little things are a pain in the ass to assemble, they have really small parts that require a lot of precision, also, I lost one of the things that are near the round bottom part... So I had to use some scraps that resulted from modifying it",,
v,"And here is the upper torso, took me a while to make, and looks awesome, the breast aren't that angular, but have some kind of curve shape, love the cross detail and for that to be more sturdier, I used some black cardboard to give it some mor mass",,
v,And here is how the head and the torso looks like together! It gives some astolykfo vibes,,
x,"(REPLY) >>604124
Keep going mate, love the instructions",,
v,"Ok, the torso and the details are done! And be prepared for a lot of small things when you want to build this thing!",,
v,"Starting by these... The lapel pins is extremely small, and is divided in 3 parts, which are even smaller, and then, the cord, isn't in the needed size, must be cut to fit",,
v,"The buttons on this thing are really small, and just tried those that I can brag without tweezers, glued them in some metallic paper with patterns in it, I think it give it some extra fancy details",,
v,"And for the skirt, the belts on bot sides of the hips... They don't fit either, they were kinda long, so just cut them to size or leave them long",,
v,"And for the last detail, the shoulder mark was given some more rise with extra material on both parts, also, the red part need it's buttons too... Maybe I will use some metallic paint on those",,
v,"Does /po/ use Cricuts or any computer assisted papercraft? or is that heretical?
I recently got a Cricut Maker for making things for my wedding and I want to make some random cool stuff.",,
v,"I remember back in the late '00s everyone was using cricut machines for their patterns. As for me, I'd kill to have one but I don't do enough papercraft to justify buying one.",,
x,"jesus guys, just kiss already",,
v,Origami Aquarium finally got released. Anyone have a scan of it yet?,,
v,"I checked the model index, and the only one I liked was Kamiya's shark, it doesn't have teeth like other models, but it looks better, but to get a whole book just for one model seems like such a waste, at least for me.",,
x,"(REPLY) >>603217
Yet you still spam",,
v,"(REPLY) >>603291
I didn't upload the book, I just said it looks clear enough to me. You got a problem with that?",,
x,"(REPLY) >>603298
If that's clear enough for you then i think you have problem.",,
x,"(REPLY) >>603182
Perfect resolution",,
x,"(REPLY) >>603303
Yeah, perfect for trolling.",,
x,"(REPLY) >>603028
Is it possible that it leaked on zhezhidaxue?!
https://zhezhidaxue.com/forum.php?mod=viewthread&tid=1660748",,
x,"(REPLY) >>603182
Is it just me and my computer or is this pdf almost impossible to read?",,
x,"(REPLY) >>603189
>my computer
Yeap, it is your computer's problem. Change a new one and everything will be just fine.",,
x,"(REPLY) >>603189
Your PC, yes. You need to go to C drive, Windows folder and delete ""System32"" folder for it to work.",,
x,"(REPLY) >>603191
Yup this worked for me",,
v,"(REPLY) >>603182
>
Perfect book, thanks.",,
v,"(REPLY) >>603082
Don't get the book, then.",,
x,"(REPLY) >>603115
calm down op",,
x,"(REPLY) >>603116
OP didn't make this comment (>>603115).
Get your facts straight before you start making accusations.",,
x,Hey my friend,,
v,"(REPLY) >>603028
Anyone know where one can acquire this book in the states without getting r with shipping?",,
x,"(REPLY) >>603732
Just say thank you!",,
x,"(REPLY) >>603733
I did, can't you read? Just being curious.",,
v,"(REPLY) >>603028
origamipot@mailo.com

You know what to do spambots :)",,
x,"(REPLY) >>603725
You sorry ass son of a bitch, I won't send you another fucking thing.",,
v,"(REPLY) >>603737
Too bad you didn't send him Origami Middle Earth 2 or Korean 2021 convention :/",,
x,"(REPLY) >> 603737

haha why you mad bro, you neva sent anything anyway",,
x,Exactly. Thank you and god bless.,,
x,"(REPLY) >>603745
Fuck you and fuck you too fuckface jezuz fucker",,
x,Just ignore em. Thax for the share yo.,,
x,"(REPLY) >>603753
Ignoring you, yes.",,
x,"(REPLY) >>603737
You didn't send him anything he got it from Diyzhen. You're just mad because you have no reason to feel superior anymore.",,
v,"(REPLY) >>603756
""feeling supperior"" and ""1 origami book shared"" in 1 sentence. Now tell me how wrong it sounds. What freaking deuchebags you are on here, total nerds for even fighting over this useless bs really. All of you get out on the fresh air and start living your lives. You are all pathetic, everybody participating in this quarrel",,
x,"(REPLY) >>603757
And what is it you just did? Someone insulting people for arguing by arguing with them seems a bit hypocritical don't you think.",,
v,"(REPLY) >>603758
I just think it's stupid and shared my thoughs. I mean, this has got to stop at some point if we want to move on. Why engage in these agruments anyway and keep on posting actual stuff, content and files instead. If we want to keep the po board functioning that is. Too much history on this baby, the sharing has got to continue, now more than ever. I am not the one to be posting on here really, just lurking in the shadows, but this crap on the site is a bummer and I want the good things to get back. So if everybody stops their stupid agendas and focus on papercraft/origami stuff again, it would get 1000% better. That's my piece of mind about the stuff I am seeing in the last few months I came back to this site again.",,
x,"(REPLY) >>603725
Thank you",,
x,I cant open the files :(,,
x,"(REPLY) >>603762
It's a PDF it should open automatically in edge or chrome if you don't have a reader installed. Right click, open with and chose Chrome or edge.",,
x,"(REPLY) >>603767
I think he's talking about how the files were taken down",,
x,Just double click,,
v,"(REPLY) >>603756
>You didn't send him anything he got it from Diyzhen.
He did not get it from Diyzhen because it just got posted there yesterday.",,
v,"(REPLY) >>603778
Yes, and in file description on Diyzhen it says ""HD version"". Book from there is probably biger then 35 mb we got here.
Maybe the link shared on 4chan is taken from Zhezhidaxue.",,
x,"(REPLY) >>603783
No, the file ain't any bigger",,
v,Can someone please share the raptor from korea convention 2021?,,
x,"(REPLY) >>603797
no",,
x,"(REPLY) >>603797
Why?",,
v,"(REPLY) >>603803
For his collection to print it out and wipe his ass with. Like all the idiots begging on here that use these books for absolutely nothing but trading.",,
v,"(REPLY) >>603028
here you go:

https://www.mediafire.com/file/lc0pjgz23gx2mhh/Origami+Aquarium+-+Makoto+Yamaguchi.pdf/file

I had never used zhezhidaxue before. used Google translate. was a pain. had to upload an avatar, and add a friend, to reply on the thread, so I could get the download links saved. 5 rar files combined to the pdf above. 

enjoy.",,
x,"(REPLY) >>603805
I think I should say thank you but may I ask what's the difference between this and >>603725 ?",,
x,Same thing,,
x,"(REPLY) >>603730
The link is no longer work. Can you re-upload please?",,
x,"(REPLY) >>603817
Wait, it's coming soon.",,
x,"(REPLY) >>603817
that's literally what I did here:

>>603805",,
x,Zlib,,
x,Your welcome my friend,,
v,"(REPLY) >>603819
No. I'm asking for the Tanteidan 192's link.",,
x,"(REPLY) >>603832
Keep asking",,
v,"(REPLY) >>603833
I'll pass, but ask about another
https://zhezhidaxue.com/forum.php?mod=viewthread&tid=1661159&extra=page%3D1 

https://origami.jp/special-issue/32nd/",,
v,"Does anyone have this book to share?
creative origami ( Yokai , other monsters, Zodiac and Animals) makoto yamaguchi",,
v,"(REPLY) >>603835
>https://origami.jp/special-issue/32nd/
Not on your life.",,
x,Not very,,
x,"(REPLY) >>603836
Yes. What do you offer?",,
v,"(REPLY) >>603836
>Does anyone have this book to share?
Which model you want ?",,
v,Any model you want from there,,
x,"(REPLY) >>603836
https://www.diyzhen.com/thread-4387-1-1.html",,
v,Does anyone have tanteidan convention 26?,,
x,"(REPLY) >>603950
>
https://www.zhezhidaxue.com/thread-1656493-1-1.html

https://diyzhen.com/forum.php?mod=viewthread&tid=3955&highlight=tanteidan%2Bconvention",,
x,Invitation code?,,
x,"(REPLY) >>603955
?",,
x,Doesn’t it require an invitation code to access?,,
x,"(REPLY) >>603955
no",,
v,Could someone share a direct download of tanteidan 26?,,
x,"(REPLY) >>603961
https://sys.4channel.org/derefer?url=https%3A%2F%2Fwww.4shared.com%2Foffice%2FTNNP8jfSea%2FO_T-C_26TH.html",,
x,It says the link is invalid,,
x,Is this on anyone's free downloads? please share,,
x,"(REPLY) >>603966
That means it got deleted.",,
v,Could someone share - EXTRAORDINARIO 2012,,
v,Could someone share extraordinaro 2012 u a link otm 26.,,
x,"(REPLY) >>No.604000
Could you send a picture of both?",,
x,these would be,,
x,these would be,,
v,"(REPLY) >>604000
Everyone has otm 26 and tanteidian convention 26. What are you smoking?",,
x,"(REPLY) >>604002
Ha, ha, ha, ha, ha. That's funny.",,
v,"Dont need the otm, tho I have the Voyer booklet but not scanned",,
v,"(REPLY) >>604004
What do you want from the voyer booklet?",,
v,"don't have the cowboy figure, I should have it.I have the seress de fuction but it's not in it.",,
x,"(REPLY) >>603963
dead link, please reupload",,
v,Creative origami by Yamaguchi Makoto is on Zhezhidaxue and Diyzhen. Could someone share download link?,,
x,"(REPLY) >>604099
no",,
v,Does anyone have the new extinct creatures in origami by fumiaki Kawahata?,,
x,"(REPLY) >>604160
Yes.",,
v,"(REPLY) >>604160
>extinct creatures in origami
If you mean this one it is open for public.",,
x,Where?,,
x,"(REPLY) >>604344
>Where?
You wouldn't want to know.",,
v,Then why am I be asking?,,
x,"(REPLY) >>603805
 What do you mean? it's a good add site I hope you spoilers don't get it shut down .you do the tasks and get money ..you visit someone's profile and home page you get 5 banknotes..You sign in to collect the reward ( which is different from logging in) and you accumulate more banknotes.You post your own folds art beans and praise .
There are more in the c.p and real shot section than hoarding books you'll never read",,
x,"(REPLY) >>604160
Buy it.",,
v,"(REPLY) >>604349
Could you please share Creative origami by Yamaguchi Makoto from Zhezhidaxue or Diyzhen?",,
v,"(REPLY) >>604354
>Could you please share Creative origami
Why is it that hard to get it yourself ?",,
v,mono origami please,,
x,"(REPLY) >>604356
Its chinese and has weird unclear downloading file procedure.",,
x,"(REPLY) >>604357
No, I don't think so.",,
v,"(REPLY) >>604357
Here's a share.

https://libgen.is/book/index.php?md5=E5A99CFA7D1325935D0691DA5A5FAB39",,
v,"(REPLY) >>604367
I want to thanks for the share, but this is an old book and not many people in this forum is going to be appreciated.",,
v,"(REPLY) >>604367
Wow thanks a lot for reposting a book that has been shared a thousand of times and that you didn't personally buy and or scan. A true hero. Please keep doing this.",,
x,"(REPLY) >>604367
Thanks, anon!",,
x,"(REPLY) >>604372
>not many people in this forum is going to be appreciated.
You're welcome, and I don't care if they appreciate it or not.

>>604373
>Please keep doing this.
You're welcome, and I just might.

>>604374
You're welcome.",,
v,"(REPLY) >>604357
Here are a couple more shares.

https://libgen.is/book/index.php?md5=2B72B54960C0844F6905244B0D061C04

https://libgen.is/book/index.php?md5=465F6764A1D1616FFC035A0F83B45494",,
x,"(REPLY) >>604357 
Buy it
https://www.amazon.com/dp/B09Y2T96WD",,
x,motor,,
v,"(REPLY) >>604358
Alright, which model you want ?",,
v,"(REPLY) >>604381
Orc and goblin. But there are other interesting models. Is it a big problem to give us link for the entire book?",,
v,"(REPLY) >>603805
>>604349
>>604381
OK, I just registered to Zhezhidaxue. What do I have to do next? When I try to download part01.rar i get this message:

Selling price (origami money) 200
Sorry, you do not have enough origami coins to download

So I need 200 coins to download the book? How do I collect them?",,
x,Yes my friend,,
v,"(REPLY) >>604389
Thank you.

I just registered. I would like to add you as a friend on Zhezhidaxue. Could you tell me your username?",,
v,"(REPLY) >>604388
>So I need 200 coins to download the book? How do I collect them?
I suggest you mark down how many coins you have initially. 
You can earn coins by 
1) visiting the space of other users
2) reply posts 
3) send message(s) to others or
4) sharing books or documents.

ps : #4 can make the most coins.",,
v,"(REPLY) >>604402
Do I get points (and how many) for sharing photo of origami interpretation?",,
v,Is papercraft as a hobby dying?,,
v,all hands-on hobbies are dying because of vidya and cheap chinese electronics,,
x,"(REPLY) >>591283
It's so depressing. I'm not against gaming but people need to find hobbies other than just sitting in front of a monitor 24/7.",,
x,"(REPLY) >>591358
Kerbal and minecraft is fine, and everything else in moderation, but I'm glad I've completely quit vidya myself, however I'm still fighting my addictive personality in other ways.",,
v,"(REPLY) >>591172
My children just got into it. Hopefully a new generation will pick up the speed. Also, thats a cool reaper. Happen to have a pdf?",,
v,"(REPLY) >>591436
All the links for it are dead, unfortunately.
http://www.papercraftsquare.com/halloween-paper-model-lil-death-free-paper-toy-download.html
I found this zombie head though. Maybe this will suffice for a while.
http://www.papercraftsquare.com/halloween-paper-model-severed-zombie-head-free-download.html",,
x,You're welcome.,,
x,"(REPLY) >>591812
thank you so much anon! Where were you able to find this?",,
v,"(REPLY) >>591358
Why? What is the special virtue of handling paper compared to staring at screens? People used to spend all day flipping paper around, you know, and that was actually the same activity of reading most of the time.",,
v,"(REPLY) >>591172
It will never die as long as paper exists. It has been around for centuries. Anyone, anywhere, anytime, is able to grab a piece of paper (or something resembling paper) and fold it to his/her liking. It's super accessible unlike other hobbies. The thing is that it's always been niche, and only a small percentage of people pick up on it and decide to make it a lifelong passion.",,
x,"I just looked at the old site, and the pdf was still there under the image search.",,
x,"(REPLY) >>591283
Except Warhammer.
Games Workshop's stock price has increased 1000% over the last ten years.",,
v,"(REPLY) >>591172
>591283 #
A paper craft haven't been dying. It is what I am crafting today.
People needs to use their hands.",,
v,"(REPLY) >>591818
Nothing, other anon is being a melodramatic teenager or an elderly youth hater.

In reality there are health issues such as sight problems, addiction and sleep disruption to name three. But also in reality the gym has as many if not more well documented problems and life threatening health hazards, including addiction.
Paper on the other hand is nice and safe... if you don't have trouble clotting or grow lemons.",,
v,"(REPLY) >>592256
Sale figures of the figurines are steadily dropping, GW lives off of whoring out their IPs",,
x,"(REPLY) >>592295
Ruskie gang represent m'duud",,
v,"(REPLY) >>592295
what did you use as a base for that?",,
v,"(REPLY) >>591172
no idea, just learned about it today, but you inspired me to try my first one with this design as it looks fairly simple, so if its of any concern your helping create new patrons",,
x,"Well, things are only going to get worse every year until something is done about the endless stream of mindless apps and platforms that want nothing but your time. Today's 20 year olds and especially the next generation will have a tough time concentrating on anything, I'm sure of it. But hey, it was neat being able to look at a 5 year old thread.",,
v,"(REPLY) >>591172
I don't think its because people have lost interest in hobbies like these, as much as it is that people are lonely. Online vidya games and electronics allow you that social interaction with other people that hand-held hobbies don't offer unfortunately. If you took this medium and gave it the social advantage that vidya/internet has, and then removed it from vidya, you'd probably have more people doing hobbies like these instead of playing vidya.",,
x,Bump,,
v,It is kinda depressing how unimpressive my level of craft skills are when you can see the stuff a 3d printer can pop out,,
v,"(REPLY) >>596693
handmade stuff has SOVL
3D printed stuff is soulless",,
x,"(REPLY) >>596693
awww looks so cute!! i prefer handmade,it always shows the dedication,love and patience",,
x,random ambiguity,,
v,"(REPLY) >>591172
Probably depends on the environment, you can't really do any kind of hobby that could result in a broken model (like papercraft) or hurt yourself/others (like blacksmith) when you have curious children and pets roaming around.",,
v,"(REPLY) >>596698
Still requires a hand to make both paper and 3d models (That is if there isn't already a 3d model to print but personally i like to recreate them myself even if too poor for 3d print).",,
v,"(REPLY) >>591172
Do not base the hobby off the patronage of /po/. It has always been slow, and it will continue to be slow until the heat death of the universe.",,
